headline,clickbait
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
10 Tips for a Healthier Life,0
Scientists Discover New Planet,0
This Simple Trick Will Shock You!,1
Local Man Wins Lottery,0
Is This the End of the World?,1
Stocks Rise Generally,0
7 Secrets Doctors Don't Want You to Know,1
You Won't Believe What Happened Next!,1
